순번,수거장소구분명,수거장소명,지번주소,도로명주소,행정동코드,행정동명,법정동코드,법정동명,개설자명,전화번호,비고,위도,경도,데이터기준일자
178,약국,온누리약국,대전광역시 서구 가수원동 794-8,대전광역시 서구 계백로1158번길 114,3017059000,가수원동,3017011400,가수원동,정**,,,36.30002848,127.3543979,2025-01-17
179,약국,온약국,대전광역시 서구 만년동 294,대전광역시 서구 대덕대로 396,3017065000,만년동,3017012800,만년동,전**,,,36.36819907,127.3800029,2025-01-17
180,약국,올리브약국,대전광역시 서구 월평동 248,대전광역시 서구 월평북로 88,3017058700,월평2동,3017011300,월평동,빈**,,,36.3619872,127.3779269,2025-01-17
181,약국,옵티마진명약국,대전광역시 서구 변동 61-6,대전광역시 서구 도산로 159,3017054000,변동,3017010200,변동,허**,,,36.32276859,127.3777455,2025-01-17
182,약국,우남웰약국,대전광역시 서구 둔산동 1041,대전광역시 서구 대덕대로 199,3017064000,둔산2동,3017011200,둔산동,박**,,,36.35104714,127.3777807,2025-01-17
183,약국,우리들약국,대전광역시 서구 탄방동 83-11,대전광역시 서구 계룡로 621,3017055500,탄방동,3017010600,탄방동,허**,,,36.33994532,127.3918206,2025-01-17
184,약국,우리약국,대전광역시 서구 둔산동 1419,대전광역시 서구 둔산중로 38,3017063000,둔산1동,3017011200,둔산동,김**,,,36.3499618,127.3872313,2025-01-17
185,약국,우리팜약국,대전광역시 서구 둔산동 1034,대전광역시 서구 대덕대로 219,3017064000,둔산2동,3017011200,둔산동,이**,,,36.35265201,127.3787299,2025-01-17
186,약국,우성약국,대전광역시 서구 정림동 589,대전광역시 서구 정림동로5번길 23,3017053500,정림동,3017010400,정림동,김**,,,36.30553601,127.3656972,2025-01-17
187,약국,원앙약국,대전광역시 서구 관저동 999-5,대전광역시 서구 관저북로 12,3017059600,관저1동,3017011600,관저동,정**,,,36.30279866,127.3373134,2025-01-17
188,약국,원약국,대전광역시 서구 탄방동 753,대전광역시 서구 문정로 88,3017055500,탄방동,3017010600,탄방동,김**,,,36.34643393,127.3889625,2025-01-17
189,약국,월평종로약국,대전광역시 서구 월평동 295,대전광역시 서구 청사서로 12,3017058700,월평2동,3017011300,월평동,신**,,,36.35899793,127.3768964,2025-01-17
190,약국,은아약국,대전광역시 서구 가수원동 765-1,대전광역시 서구 계백로1158번길 9,3017059000,가수원동,3017011400,가수원동,최**,,,36.30429783,127.3522334,2025-01-17
191,약국,은하수약국,대전광역시 서구 둔산동 1255,대전광역시 서구 둔산남로 46,3017064000,둔산2동,3017011200,둔산동,김**,,,36.34843023,127.3825912,2025-01-17
192,약국,은하약국,대전광역시 서구 탄방동 1011,대전광역시 서구 탄방로7번길 65,3017055500,탄방동,3017010600,탄방동,김**,,,36.34629395,127.3939509,2025-01-17
193,약국,을지다사랑약국,대전광역시 서구 둔산동 1308,대전광역시 서구 대덕대로234번길 45,3017064000,둔산2동,3017011200,둔산동,김*,,,36.35382305,127.3822529,2025-01-17
194,약국,을지실로암약국,대전광역시 서구 둔산동 1308,대전광역시 서구 대덕대로234번길 45,3017064000,둔산2동,3017011200,둔산동,송**,,,36.35382305,127.3822529,2025-01-17
195,약국,을지온누리약국,대전광역시 서구 둔산동 1307,대전광역시 서구 대덕대로242번길 48,3017064000,둔산2동,3017011200,둔산동,우**,,,36.35410989,127.382253,2025-01-17
196,약국,을지참조은약국,대전광역시 서구 둔산동 1305,대전광역시 서구 둔산서로 81,3017064000,둔산2동,3017011200,둔산동,김**,,,36.35410884,127.3826095,2025-01-17
197,약국,이화누리약국,대전광역시 서구 월평동 282-2,대전광역시 서구 청사로 130,3017058700,월평2동,3017011300,월평동,김**,,,36.35942879,127.378377,2025-01-17
198,약국,이화약국,대전광역시 서구 관저동 1340,대전광역시 서구 관저로 157,3017059700,관저2동,3017011600,관저동,고**,,,36.29932268,127.3397725,2025-01-17
199,약국,인과원약국,대전광역시 서구 갈마동 393-15,대전광역시 서구 신갈마로 120,3017058100,갈마1동,3017011100,갈마동,신**,,,36.34421717,127.3688264,2025-01-17
